Player,Position,Team,ADP,MarketIndex
Ja'Marr Chase,WR,CIN,1.1,-3.0
Saquon Barkley,RB,PHI,1.2,1.0
Bijan Robinson,RB,ATL,1.3,1.0
Justin Jefferson,WR,MIN,1.4,-4.0
Jahmyr Gibbs,RB,DET,1.5,-1.0
CeeDee Lamb,WR,DAL,1.6,-4.0
Puka Nacua,WR,LAR,1.7,-5.0
Amon-Ra St. Brown,WR,DET,1.8,-13.0
Malik Nabers,WR,NYG,1.9,-5.0
Derrick Henry,RB,BAL,1.1,7.0
Ashton Jeanty,RB,LVR,2.1,2.0
Nico Collins,WR,HOU,2.2,1.0
Brian Thomas Jr.,WR,JAC,2.3,0.0
Christian McCaffrey,RB,SF,2.4,7.0
Brock Bowers,TE,LVR,2.5,-17.0
De'Von Achane,RB,MIA,2.6,-3.0
Drake London,WR,ATL,2.7,-1.0
Bucky Irving,RB,TB,2.8,-7.0
A.J. Brown,WR,PHI,2.9,4.0
Josh Jacobs,RB,GB,2.1,3.0
Ladd McConkey,WR,LAC,3.1,-13.0
Josh Allen,QB,BUF,3.2,-5.0
Jonathan Taylor,RB,IND,3.3,18.0
Trey McBride,TE,ARI,3.4,-13.0
Lamar Jackson,QB,BAL,3.5,5.0
Jaxon Smith-Njigba,WR,SEA,3.6,-28.0
Kyren Williams,RB,LAR,3.7,11.0
Chase Brown,RB,CIN,3.8,5.0
Tyreek Hill,WR,MIA,3.9,-2.0
Jayden Daniels,QB,WAS,3.1,6.0
Tee Higgins,WR,CIN,4.1,9.0
Garrett Wilson,WR,NYJ,4.2,-18.0
Breece Hall,RB,NYJ,4.3,-8.0
Terry McLaurin,WR,WAS,4.4,-10.0
James Cook,RB,BUF,4.5,9.0
Marvin Harrison Jr.,WR,ARI,4.6,-3.0
Mike Evans,WR,TB,4.7,4.0
George Kittle,TE,SF,4.8,3.0
Omarion Hampton,RB,LAC,4.9,10.0
Jalen Hurts,QB,PHI,4.1,12.0
Rashee Rice,WR,KC,5.1,-17.0
Davante Adams,WR,LAR,5.2,4.0
Joe Burrow,QB,CIN,5.3,-8.0
Alvin Kamara,RB,NO,5.4,1.0
Kenneth Walker III,RB,SEA,5.5,15.0
Joe Mixon,RB,HOU,5.6,-23.0
Chuba Hubbard,RB,CAR,5.7,11.0
D.J. Moore,WR,CHI,5.8,1.0
D.K. Metcalf,WR,PIT,5.9,7.0
Courtland Sutton,WR,DEN,5.1,1.0
James Conner,RB,ARI,6.1,11.0
Sam LaPorta,TE,DET,6.2,-3.0
Zay Flowers,WR,BAL,6.3,-4.0
DeVonta Smith,WR,PHI,6.4,-2.0
David Montgomery,RB,DET,6.5,-4.0
Xavier Worthy,WR,KC,6.6,8.0
Jameson Williams,WR,DET,6.7,12.0
RJ Harvey,RB,DEN,6.8,-19.0
T.J. Hockenson,TE,MIN,6.9,-14.0
Tetairoa McMillan,WR,CAR,6.1,14.0
George Pickens,WR,DAL,7.1,9.0
Isiah Pacheco,RB,KC,7.2,-3.0
TreVeyon Henderson,RB,NE,7.3,-17.0
Patrick Mahomes,QB,KC,7.4,-44.0
Travis Hunter,WR,JAC,7.5,4.0
Quinshon Judkins,RB,CLE,7.6,-39.0
Aaron Jones,RB,MIN,7.7,-21.0
Jaylen Waddle,WR,MIA,7.8,15.0
Chris Olave,WR,NO,7.9,-5.0
Jordan Addison,WR,MIN,7.1,-1.0
Jerry Jeudy,WR,CLE,8.1,-16.0
Chris Godwin,WR,TB,8.2,-50.0
Tony Pollard,RB,TEN,8.3,3.0
Baker Mayfield,QB,TB,8.4,-84.0
D'Andre Swift,RB,CHI,8.5,-8.0
Travis Kelce,TE,KC,8.6,-9.0
Calvin Ridley,WR,TEN,8.7,14.0
Rome Odunze,WR,CHI,8.8,11.0
Kaleb Johnson,RB,PIT,8.9,3.0
Tyrone Tracy Jr.,RB,NYG,8.1,-29.0
Brian Robinson Jr.,RB,WAS,9.1,2.0
Mark Andrews,TE,BAL,9.2,22.0
Khalil Shakir,WR,BUF,9.3,-20.0
Jakobi Meyers,WR,LVR,9.4,-2.0
Bo Nix,QB,DEN,9.5,-79.0
Jonnu Smith,TE,PIT,9.6,-53.0
Jaylen Warren,RB,PIT,9.7,-37.0
Deebo Samuel,WR,WAS,9.8,24.0
Najee Harris,RB,LAC,9.9,
Travis Etienne,RB,JAC,9.1,-82.0
Evan Engram,TE,DEN,10.1,-29.0
Cooper Kupp,WR,SEA,10.2,-50.0
Brandon Aiyuk,WR,SF,10.3,-26.0
Stefon Diggs,WR,NE,10.4,3.0
Jayden Reed,WR,GB,10.5,27.0
Kyler Murray,QB,ARI,10.6,-74.0
Ricky Pearsall,WR,SF,10.7,15.0
