Player,Opp,GP,Passing_Yards,Passing_TD,Passing_Int,Rushing_Yards,Projected_Points
Lamar Jackson,@BUF,16,3619,30,9,832,351.96
Josh Allen,BAL,16,3777,27,11,504,341.48
Jalen Hurts,DAL,16,3475,22,9,535,340.5
Jayden Daniels,NYG,16,3726,26,11,755,336.54
Ja'Marr Chase,@CLE,16,-,-,-,23,328.3
Patrick Mahomes,@LAC,16,4223,32,12,335,314.42
Joe Burrow,@CLE,16,4415,34,11,159,312.5
Bijan Robinson,TB,15,-,-,-,1348,309.4
Jahmyr Gibbs,@GB,15,-,-,-,1204,300.9
CeeDee Lamb,@PHI,16,-,-,-,81,300.5
Justin Jefferson,@CHI,16,-,-,-,6,298.3
Baker Mayfield,@ATL,16,4009,31,13,235,297.86
Kyler Murray,@NO,16,3621,24,11,549,297.74
Brock Purdy,@SEA,16,4163,27,12,272,297.72
Saquon Barkley,DAL,15,-,-,-,1680,296.2
Bo Nix,TEN,16,3807,27,12,402,294.48
Drake Maye,LV,16,3708,25,13,465,290.82
J.J. McCarthy,@CHI,16,4060,27,13,285,284.9
Caleb Williams,MIN,16,3720,24,12,384,281.2
Trevor Lawrence,CAR,16,3995,26,13,255,279.3
Justin Fields,PIT,15,2981,16,9,798,279.04
Justin Herbert,KC,16,3880,26,10,234,276.6
Dak Prescott,@PHI,16,4179,28,13,159,275.06
Malik Nabers,@WAS,16,-,-,-,35,274.5
Brian Thomas Jr.,CAR,16,-,-,-,18,274.3
Puka Nacua,HOU,15,-,-,-,75,274.2
Nico Collins,@LAR,15,-,-,-,6,274.1
Amon-Ra St. Brown,@GB,16,-,-,-,12,273.7
C.J. Stroud,@LAR,16,4015,27,11,196,272.2
Christian McCaffrey,@SEA,14,-,-,-,972,270.0
Ashton Jeanty,@NE,15,-,-,-,1215,269.7
Tyreek Hill,@IND,16,-,-,-,35,268.6
Drake London,TB,16,-,-,-,11,268.6
De'Von Achane,@IND,15,-,-,-,931,266.1
Derrick Henry,@BUF,15,-,-,-,1562,265.5
Jared Goff,@GB,16,4221,28,11,63,265.14
Bryce Young,@JAX,16,3613,22,12,297,260.22
Jordan Love,DET,16,3907,26,12,166,258.88
Josh Jacobs,DET,15,-,-,-,1155,258.0
A.J. Brown,DAL,16,-,-,-,-,253.0
Tua Tagovailoa,@IND,15,3975,26,12,96,248.6
Brock Bowers,@NE,16,-,-,-,16,246.8
Jonathan Taylor,MIA,15,-,-,-,1340,245.8
Trey McBride,@NO,16,-,-,-,3,245.4
Cameron Ward,@DEN,16,3380,20,14,392,242.4
Matthew Stafford,HOU,15,3972,25,12,48,241.68
Geno Smith,@NE,16,3724,22,12,225,241.46
Ladd McConkey,KC,16,-,-,-,7,240.1
Bucky Irving,@ATL,15,-,-,-,1041,238.5
Michael Penix Jr.,TB,16,3610,23,12,198,238.2
Kyren Williams,HOU,15,-,-,-,1170,236.1
DK Metcalf,@NYJ,16,-,-,-,6,234.7
Tee Higgins,@CLE,15,-,-,-,-,233.7
Marvin Harrison Jr.,@NO,16,-,-,-,16,232.8
Chase Brown,@CLE,15,-,-,-,936,232.6
Davante Adams,HOU,16,-,-,-,-,232.0
Terry McLaurin,NYG,16,-,-,-,6,231.7
Garrett Wilson,PIT,16,-,-,-,37,231.0
Mike Evans,@ATL,15,-,-,-,-,229.3
Alvin Kamara,ARI,14,-,-,-,875,228.0
Aaron Rodgers,@NYJ,16,3710,22,11,88,225.2
Omarion Hampton,KC,15,-,-,-,1040,225.1
Jaxon Smith-Njigba,SF,16,-,-,-,42,220.0
James Conner,@NO,15,-,-,-,951,219.3
Sam Darnold,SF,15,3456,20,12,187,218.94
James Cook,BAL,15,-,-,-,1035,218.2
Tetairoa McMillan,@JAX,16,-,-,-,27,217.0
DJ Moore,MIN,16,-,-,-,46,216.5
Courtland Sutton,TEN,16,-,-,-,-,215.3
Breece Hall,PIT,15,-,-,-,1005,214.5
George Pickens,@PHI,16,-,-,-,16,213.9
Chuba Hubbard,@JAX,15,-,-,-,1046,212.8
DeVonta Smith,DAL,16,-,-,-,5,211.0
Calvin Ridley,@DEN,16,-,-,-,33,209.1
Jameson Williams,@GB,16,-,-,-,67,208.0
Jaylen Waddle,@IND,16,-,-,-,23,207.3
Xavier Worthy,@LAC,16,-,-,-,92,207.2
George Kittle,@SEA,15,-,-,-,-,207.0
Jerry Jeudy,CIN,16,-,-,-,18,206.8
Chris Olave,ARI,15,-,-,-,5,205.2
Rashee Rice,@LAC,12,-,-,-,11,204.7
TreVeyon Henderson,LV,16,-,-,-,840,202.2
Tony Pollard,@DEN,15,-,-,-,918,200.8
Jakobi Meyers,@NE,16,14,-,-,11,199.66
RJ Harvey,TEN,15,-,-,-,770,199.5
Travis Hunter,CAR,16,-,-,-,28,195.7
Zay Flowers,@BUF,16,-,-,-,43,194.2
